LESTE,NORTE,BOUG
-29705.046650747,7120941.04757801,-77.9784698486328
-28205.046650747,7120941.04757801,-77.4809417724609
-26705.046650747,7120941.04757801,-77.0292053222656
-25205.046650747,7120941.04757801,-76.9205627441406
-23705.046650747,7120941.04757801,-77.0649871826172
-22205.046650747,7120941.04757801,-77.3196105957031
-20705.046650747,7120941.04757801,-77.411735534668
-19205.046650747,7120941.04757801,-77.5193786621094
-17705.046650747,7120941.04757801,-77.6555328369141
-16205.046650747,7120941.04757801,-77.5843505859375
-14705.046650747,7120941.04757801,-77.2051773071289
-13205.046650747,7120941.04757801,-76.4302139282227
-11705.046650747,7120941.04757801,-75.2795028686523
-10205.046650747,7120941.04757801,-74.0366897583008
-8705.04665074695,7120941.04757801,-73.1287155151367
-7205.04665074695,7120941.04757801,-72.6467819213867
-5705.04665074695,7120941.04757801,-72.5023040771484
-4205.04665074695,7120941.04757801,-72.5664825439453
-2705.04665074695,7120941.04757801,-72.6799011230469
-1205.04665074695,7120941.04757801,-72.8129577636719
294.953349253046,7120941.04757801,-72.7911682128906
1794.95334925305,7120941.04757801,-72.6216735839844
3294.95334925305,7120941.04757801,-72.20458984375
4794.95334925305,7120941.04757801,-71.0788421630859
6294.95334925305,7120941.04757801,-69.6535186767578
7794.95334925305,7120941.04757801,-68.0906066894531
9294.95334925305,7120941.04757801,-66.7065277099609
10794.953349253,7120941.04757801,-66.4643249511719
12294.953349253,7120941.04757801,-66.4185028076172
13794.953349253,7120941.04757801,-66.2856216430664
15294.953349253,7120941.04757801,-65.8691787719727
16794.953349253,7120941.04757801,-65.0188751220703
18294.953349253,7120941.04757801,-64.161865234375
19794.953349253,7120941.04757801,-63.315071105957
21294.953349253,7120941.04757801,-61.943187713623
22794.953349253,7120941.04757801,-60.6617584228516
24294.953349253,7120941.04757801,-59.6654891967773
25794.953349253,7120941.04757801,-58.8595809936523
27294.953349253,7120941.04757801,-57.9322166442871
28794.953349253,7120941.04757801,-56.4003791809082
30294.953349253,7120941.04757801,-54.8266754150391
31794.953349253,7120941.04757801,-53.4985656738281
33294.953349253,7120941.04757801,-52.3609161376953
34794.953349253,7120941.04757801,-51.7649879455566
36294.953349253,7120941.04757801,-51.8862762451172
37794.953349253,7120941.04757801,-51.9907836914063
39294.953349253,7120941.04757801,-52.2613945007324
40794.953349253,7120941.04757801,-52.8513641357422
42294.953349253,7120941.04757801,-53.9912300109863
43794.953349253,7120941.04757801,-55.1534194946289
45294.953349253,7120941.04757801,-55.6298370361328
46794.953349253,7120941.04757801,-55.7873916625977
48294.953349253,7120941.04757801,-55.9178924560547
49794.953349253,7120941.04757801,-56.2135620117188
51294.953349253,7120941.04757801,-56.7403526306152
52794.953349253,7120941.04757801,-58.4226417541504
54294.953349253,7120941.04757801,-61.0044288635254
55794.953349253,7120941.04757801,-63.9079818725586
57294.953349253,7120941.04757801,-66.3138961791992
58794.953349253,7120941.04757801,-68.212646484375
60294.953349253,7120941.04757801,-69.6710357666016
61794.953349253,7120941.04757801,-70.825927734375
63294.953349253,7120941.04757801,-71.8050765991211
64794.953349253,7120941.04757801,-72.6292724609375
66294.953349253,7120941.04757801,-72.9972991943359
67794.953349253,7120941.04757801,-72.5385131835938
69294.953349253,7120941.04757801,-71.352180480957
70794.953349253,7120941.04757801,-69.4205169677734
72294.953349253,7120941.04757801,-67.7017822265625
73794.953349253,7120941.04757801,-65.9283218383789
75294.953349253,7120941.04757801,-62.9532318115234
76794.953349253,7120941.04757801,-59.1579666137695
78294.953349253,7120941.04757801,-54.6421051025391
79794.953349253,7120941.04757801,-50.1152801513672
81294.953349253,7120941.04757801,-45.9362564086914
82794.953349253,7120941.04757801,-42.117561340332
84294.953349253,7120941.04757801,-38.2587928771973
85794.953349253,7120941.04757801,-34.7790374755859
87294.953349253,7120941.04757801,-32.297550201416
88794.953349253,7120941.04757801,-30.8860931396484
90294.953349253,7120941.04757801,-30.353931427002
91794.953349253,7120941.04757801,-30.3759078979492
93294.953349253,7120941.04757801,-30.4083099365234
94794.953349253,7120941.04757801,-29.6572132110596
96294.953349253,7120941.04757801,-28.8195762634277
97794.953349253,7120941.04757801,-28.3226089477539
99294.953349253,7120941.04757801,-28.3612232208252
100794.953349253,7120941.04757801,-28.963228225708
102294.953349253,7120941.04757801,-30.0373916625977
103794.953349253,7120941.04757801,-31.5398807525635
