LESTE,OESTE,BOUGUER
632000,6758000,117.218032836914
634000,6758000,116.359115600586
636000,6758000,115.483291625977
638000,6758000,114.111122131348
640000,6758000,113.324234008789
642000,6758000,113.630683898926
644000,6758000,113.404098510742
646000,6758000,112.4609375
648000,6758000,110.64427947998
650000,6758000,109.624626159668
652000,6758000,109.201843261719
654000,6758000,109.626861572266
656000,6758000,109.666450500488
658000,6758000,108.568054199219
660000,6758000,107.765762329102
662000,6758000,107.068405151367
664000,6758000,107.092636108398
666000,6758000,107.057037353516
668000,6758000,107.183326721191
670000,6758000,107.218368530273
672000,6758000,107.556816101074
674000,6758000,109.655220031738
676000,6758000,111.552696228027
678000,6758000,112.576431274414
680000,6758000,112.345924377441
682000,6758000,112.839782714844
684000,6758000,115.013694763184
686000,6758000,117.82682800293
688000,6758000,120.163757324219
690000,6758000,119.826019287109
692000,6758000,119.185134887695
694000,6758000,119.196411132813
696000,6758000,120.070976257324
698000,6758000,120.808372497559
700000,6758000,120.511276245117
702000,6758000,120.67130279541
704000,6758000,121.162330627441
706000,6758000,122.691047668457
708000,6758000,123.983543395996
710000,6758000,124.297019958496
712000,6758000,124.130706787109
714000,6758000,123.758354187012
716000,6758000,124.179550170898
718000,6758000,124.177444458008
720000,6758000,124.043754577637
722000,6758000,123.447776794434
724000,6758000,123.069351196289
726000,6758000,123.125328063965
728000,6758000,122.814437866211
730000,6758000,122.724502563477
732000,6758000,122.232376098633
734000,6758000,121.947074890137
736000,6758000,121.060134887695
738000,6758000,119.970764160156
740000,6758000,119.143814086914
742000,6758000,118.23365020752
744000,6758000,117.93098449707
746000,6758000,117.015266418457
748000,6758000,116.456329345703
750000,6758000,115.736503601074
752000,6758000,115.639152526855
754000,6758000,115.85612487793
756000,6758000,115.563270568848
758000,6758000,115.666870117188
760000,6758000,115.354431152344
762000,6758000,115.436164855957
764000,6758000,115.26057434082
766000,6758000,115.587158203125
768000,6758000,117.030899047852
770000,6758000,118.248588562012
772000,6758000,119.417045593262
774000,6758000,119.180656433105
776000,6758000,118.573799133301
778000,6758000,117.937271118164
780000,6758000,117.66788482666
782000,6758000,118.154747009277
784000,6758000,117.913063049316
786000,6758000,117.752365112305
788000,6758000,116.167839050293
790000,6758000,115.384384155273
792000,6758000,114.466789245605
794000,6758000,113.53897857666
796000,6758000,112.247528076172
798000,6758000,110.504203796387
800000,6758000,108.990905761719
802000,6758000,107.540199279785
804000,6758000,106.875549316406
806000,6758000,106.476005554199
808000,6758000,106.270713806152
810000,6758000,106.630813598633
812000,6758000,106.508125305176
814000,6758000,106.604965209961
816000,6758000,106.564018249512
818000,6758000,107.223579406738
820000,6758000,107.841926574707
822000,6758000,108.318489074707
824000,6758000,109.20240020752
826000,6758000,110.321708679199
828000,6758000,111.801750183105
830000,6758000,112.702568054199
832000,6758000,113.928535461426
834000,6758000,114.811592102051
836000,6758000,114.091423034668
838000,6758000,112.853965759277
840000,6758000,111.692047119141
842000,6758000,111.973434448242
844000,6758000,112.649047851563
846000,6758000,113.612159729004
848000,6758000,114.241226196289
850000,6758000,114.364295959473
852000,6758000,114.574264526367
854000,6758000,114.131408691406
856000,6758000,113.716651916504
858000,6758000,112.983863830566
860000,6758000,112.69896697998
862000,6758000,112.60994720459
864000,6758000,111.988876342773
866000,6758000,111.308479309082
868000,6758000,110.684623718262
870000,6758000,110.350471496582
872000,6758000,109.502159118652
874000,6758000,108.960388183594
876000,6758000,108.718017578125
878000,6758000,108.203033447266
880000,6758000,107.80052947998
882000,6758000,107.280204772949
