X,Y,FA,SRTM
-46.933334672,-7.95000015900001,-23.2985095977783,295.008413599682
-46.933334672,-7.93333349200001,-23.430004119873,294.003023011623
-46.916668005,-8.21666683100001,-28.03342628479,442.008226566278
-46.916668005,-8.20000016400001,-27.858039855957,439.001409199958
-46.916668005,-8.18333349700001,-27.9835395812988,421.994790146471
-46.916668005,-8.16666683000001,-28.2941055297852,382.002584425973
-46.916668005,-8.15000016300001,-28.8989543914795,278.000112257401
-46.916668005,-8.13333349600001,-29.189489364624,309.046814225321
-46.916668005,-8.11666682900001,-29.0366058349609,342.013968573626
-46.916668005,-8.10000016200001,-28.6377925872803,353.006559482299
-46.916668005,-8.08333349500001,-28.1935043334961,423.002960884171
-46.916668005,-8.06666682800001,-27.5096225738525,296.040592533029
-46.916668005,-8.05000016100001,-26.8458232879639,360.021526585905
-46.916668005,-8.03333349400001,-26.2614002227783,391.985740039065
-46.916668005,-8.01666682700001,-25.4288177490234,285.998202836055
-46.916668005,-8.00000016000001,-24.7973747253418,282.005584149641
-46.916668005,-7.98333349300001,-24.1982078552246,259.001605999941
-46.916668005,-7.96666682600001,-24.2181491851807,321.000380864628
-46.916668005,-7.95000015900001,-24.3131351470947,318.987722561872
-46.916668005,-7.93333349200001,-24.6679534912109,313.994883388737
-46.900001338,-8.21666683100001,-27.7926712036133,355.990171100089
-46.900001338,-8.20000016400001,-28.0320568084717,354.053015366338
-46.900001338,-8.18333349700001,-28.1193542480469,430.003800084496
-46.900001338,-8.16666683000001,-28.3567657470703,309.038255645804
-46.900001338,-8.15000016300001,-28.8125991821289,299.028940656955
-46.900001338,-8.13333349600001,-28.8941707611084,430.001019059759
-46.900001338,-8.11666682900001,-28.5670585632324,448.00841666138
-46.900001338,-8.10000016200001,-27.9544410705566,311.007592233093
-46.900001338,-8.08333349500001,-27.6552047729492,306.021453553296
-46.900001338,-8.06666682800001,-27.1469612121582,303.013674445362
-46.900001338,-8.05000016100001,-26.6665363311768,322.999229061285
-46.900001338,-8.03333349400001,-26.2640399932861,320.994542219249
-46.900001338,-8.01666682700001,-25.8599700927734,300.998970364329
-46.900001338,-8.00000016000001,-25.4488162994385,290.993775149152
-46.900001338,-7.98333349300001,-25.260950088501,261.999808400018
-46.900001338,-7.96666682600001,-25.6621704101563,303.003401478901
-46.900001338,-7.95000015900001,-25.8909873962402,307.005657974463
-46.900001338,-7.93333349200001,-26.0966453552246,338.003781788424
-46.883334671,-8.21666683100001,-27.4940795898438,333.990734967122
-46.883334671,-8.20000016400001,-27.9908294677734,307.994596211548
-46.883334671,-8.18333349700001,-28.1499538421631,315.002426376267
-46.883334671,-8.16666683000001,-28.322998046875,361.019811311461
-46.883334671,-8.15000016300001,-28.7797069549561,291.992408112158
-46.883334671,-8.13333349600001,-28.8381195068359,426.02578555887
-46.883334671,-8.11666682900001,-28.4029350280762,321.008608210807
-46.883334671,-8.10000016200001,-27.7923641204834,311.003792039579
-46.883334671,-8.08333349500001,-27.3672351837158,317.000827954382
-46.883334671,-8.06666682800001,-27.0873222351074,293.994796267907
-46.883334671,-8.05000016100001,-26.6995601654053,303.004623020096
-46.883334671,-8.03333349400001,-26.653299331665,353.003466928397
-46.883334671,-8.01666682700001,-26.4200019836426,393.000576891104
-46.883334671,-8.00000016000001,-26.3739986419678,356.996599141124
-46.883334671,-7.98333349300001,-26.5438575744629,290.003783662049
-46.883334671,-7.96666682600001,-27.2639026641846,263.994802307123
-46.883334671,-7.95000015900001,-27.3751277923584,332.005273549704
-46.883334671,-7.93333349200001,-27.3893089294434,313.005685905278
-46.866668004,-8.21666683100001,-27.3378639221191,315.016020799306
-46.866668004,-8.20000016400001,-27.8525199890137,393.927224950327
-46.866668004,-8.18333349700001,-28.2867889404297,382.996787563477
-46.866668004,-8.16666683000001,-28.6936550140381,290.024188737181
-46.866668004,-8.15000016300001,-28.8411502838135,418.984508223304
-46.866668004,-8.13333349600001,-28.7390251159668,303.010560659699
-46.866668004,-8.11666682900001,-28.2839851379395,332.997226087557
-46.866668004,-8.10000016200001,-27.7003555297852,344.998638264203
-46.866668004,-8.06666682800001,-26.9574298858643,339.003345646336
-46.866668004,-8.05000016100001,-26.9065685272217,317.997042180095
-46.866668004,-8.03333349400001,-27.0608978271484,313.994158271973
-46.866668004,-8.01666682700001,-27.1525726318359,393.014762090569
-46.866668004,-8.00000016000001,-27.2807540893555,356.995371745854
-46.866668004,-7.98333349300001,-27.511682510376,302.998012000097
