X,Y,CMA
-47.00855,-8.06495,15.1787929534912
-47.00855,-8.0638,14.6209678649902
-47.00855,-8.06265,14.0718479156494
-47.00855,-8.0615,13.5438346862793
-47.00855,-8.06035,13.0063982009888
-47.00855,-8.0592,12.4399070739746
-47.00855,-8.05805,11.8673124313354
-47.00855,-8.0569,11.3456058502197
-47.00855,-8.05575,10.9077968597412
-47.00855,-8.0546,10.5430555343628
-47.00855,-8.05345,10.2913160324097
-47.00855,-8.0523,10.1909799575806
-47.00855,-8.05115,10.1769342422485
-47.00855,-8.05,10.2545185089111
-47.00855,-8.04885,10.4797010421753
-47.00855,-8.0477,10.8518733978271
-47.00855,-8.04655,11.3250350952148
-47.00855,-8.0454,11.8722496032715
-47.00855,-8.04425,12.4555559158325
-47.00855,-8.0431,12.9871797561646
-47.00855,-8.04195,13.4097995758057
-47.00855,-8.0408,13.7533121109009
-47.00855,-8.03965,14.1810102462769
-47.00855,-8.0385,15.0144634246826
-47.00855,-8.03735,16.3276710510254
-47.00855,-8.0362,17.6052742004395
-47.00855,-8.03505,18.4907131195068
-47.00855,-8.0339,19.2712230682373
-47.00855,-8.03275,20.233512878418
-47.00855,-8.0316,21.3735046386719
-47.00855,-8.03045,22.5379962921143
-47.00855,-8.0293,23.6884307861328
-47.00855,-8.02815,24.9194889068604
-47.00855,-8.027,26.225414276123
-47.00855,-8.02585,27.5338020324707
-47.00855,-8.0247,28.828649520874
-47.00855,-8.02355,30.1085052490234
-47.00855,-8.0224,31.355001449585
-47.00855,-8.02125,32.5871810913086
-47.00855,-8.0201,33.8410110473633
-47.00855,-8.01895,35.1462249755859
-47.00855,-8.0178,36.4769401550293
-47.00855,-8.01665,37.7379417419434
-47.00855,-8.0155,38.932056427002
-47.00855,-8.01435,40.1330299377441
-47.00855,-8.0132,41.3179740905762
-47.00855,-8.01205,42.44873046875
-47.00855,-8.0109,43.5420951843262
-47.00855,-8.00975,44.5962142944336
-47.00855,-8.0086,45.5345191955566
-47.00855,-8.00745,46.206127166748
-47.00855,-8.0063,46.6350212097168
-47.00855,-8.00515,47.3139228820801
-47.00855,-8.004,48.6894721984863
-47.00855,-8.00285,50.4548263549805
-47.00855,-8.0017,51.9141273498535
-47.00855,-8.00055,52.8336372375488
-47.00855,-7.9994,53.4114379882813
-47.00855,-7.99825,54.003776550293
-47.00855,-7.9971,54.7473258972168
-47.00855,-7.99595,55.4683876037598
-47.00855,-7.9948,56.0887145996094
-47.00855,-7.99365,56.7407989501953
-47.00855,-7.9925,57.4660873413086
-47.00855,-7.99135,58.1716423034668
-47.00855,-7.9902,58.787239074707
-47.00855,-7.98905,59.2683181762695
-47.00855,-7.9879,59.6478309631348
-47.00855,-7.98675,60.0237503051758
-47.00855,-7.9856,60.3678855895996
-47.00855,-7.98445,60.5803527832031
-47.00855,-7.9833,60.6792335510254
-47.00855,-7.98215,60.7198295593262
-47.00855,-7.981,60.6630821228027
-47.00855,-7.97985,60.501293182373
-47.00855,-7.9787,60.2621612548828
-47.00855,-7.97755,59.9638175964355
-47.00855,-7.9764,59.6601676940918
-47.00855,-7.97525,59.380054473877
-47.00855,-7.9741,59.080005645752
-47.00855,-7.97295,58.7165069580078
-47.00855,-7.9718,58.2901916503906
-47.00855,-7.97065,57.799201965332
-47.00855,-7.9695,57.2227096557617
-47.00855,-7.96835,56.4971618652344
-47.00855,-7.9672,55.4452743530273
-47.00855,-7.96605,53.8532829284668
-47.00855,-7.9649,52.0198936462402
-47.00855,-7.96375,51.029182434082
-47.00855,-7.9626,51.3285980224609
-47.00855,-7.96145,51.797679901123
-47.00855,-7.9603,51.6367378234863
-47.00855,-7.95915,51.0020027160645
