LESTE,NORTE,CMA
278208,9099594,-1.86515545845032
278208,9099720,-1.96670520305634
278208,9099846,-2.07918214797974
278208,9099972,-2.17410326004028
278208,9100098,-2.18915033340454
278208,9100224,-2.11502170562744
278208,9100350,-2.00521039962769
278208,9100476,-1.91564309597015
278208,9100602,-1.87797462940216
278208,9100728,-1.88423085212708
278208,9100854,-1.88854479789734
278208,9100980,-1.80157399177551
278208,9101106,-1.53138279914856
278208,9101232,-1.14569139480591
278208,9101358,-0.861038148403168
278208,9101484,-0.725755929946899
278208,9101610,-0.588982820510864
278208,9101736,-0.385721623897552
278208,9101862,-0.162682354450226
278208,9101988,0.040991485118866
278208,9102114,0.212646573781967
278208,9102240,0.381408631801605
278208,9102366,0.570152401924133
278208,9102492,0.769321918487549
278208,9102618,0.969842135906219
278208,9102744,1.16251266002655
278208,9102870,1.33284318447113
278208,9102996,1.49157214164734
278208,9103122,1.6331912279129
278208,9103248,1.72030317783356
278208,9103374,1.74175536632538
278208,9103500,1.72619342803955
278208,9103626,1.7285578250885
278208,9103752,1.80992448329926
278208,9103878,1.97731983661652
278208,9104004,2.14741182327271
278208,9104130,2.24917483329773
278208,9104256,2.24545240402222
278208,9104382,2.15824103355408
278208,9104508,2.03343749046326
278208,9104634,1.91005659103394
278208,9104760,1.80661618709564
278208,9104886,1.70949935913086
278208,9105012,1.59443819522858
278208,9105138,1.46184158325195
278208,9105264,1.3219747543335
278208,9105390,1.16288256645203
278208,9105516,0.970557332038879
278208,9105642,0.771503925323486
278208,9105768,0.604229032993317
278208,9105894,0.467655181884766
278208,9106020,0.333554565906525
278208,9106146,0.192072331905365
278208,9106272,0.046733558177948
278208,9106398,-0.103601634502411
278208,9106524,-0.258626341819763
278208,9106650,-0.408191800117493
278208,9106776,-0.536701619625092
278208,9106902,-0.639667093753815
278208,9107028,-0.731153011322021
278208,9107154,-0.824028313159943
278208,9107280,-0.914707720279694
278208,9107406,-0.99683403968811
278208,9107532,-1.07940173149109
278208,9107658,-1.17879831790924
278208,9107784,-1.2954740524292
278208,9107910,-1.42365944385529
278208,9108036,-1.56558191776276
278208,9108162,-1.71197605133057
278208,9108288,-1.84120988845825
278208,9108414,-1.95357966423035
278208,9108540,-2.07395553588867
278208,9108666,-2.20941948890686
278208,9108792,-2.33995389938354
278208,9108918,-2.45126438140869
278208,9109044,-2.54430460929871
278208,9109170,-2.60928392410278
278208,9109296,-2.62300515174866
278208,9109422,-2.58451581001282
278208,9109548,-2.51285028457642
278208,9109674,-2.41173505783081
278208,9109800,-2.26160430908203
278208,9109926,-2.04347372055054
278208,9110052,-1.76848578453064
278208,9110178,-1.47100281715393
278208,9110304,-1.19059693813324
278208,9110430,-0.963851451873779
278208,9110556,-0.796854794025421
278208,9110682,-0.636846244335175
278208,9110808,-0.374725580215454
278208,9110934,0.106753706932068
278208,9111060,0.759878754615784
278208,9111186,1.3391352891922
278208,9111312,1.73250198364258
278208,9111438,2.07591605186462
278208,9111564,2.52292442321777
278208,9111690,3.05825448036194
278208,9111816,3.61890149116516
278208,9111942,4.32580375671387
278208,9112068,4.95790767669678
278208,9112194,5.52790927886963
278208,9112320,6.06149196624756
278208,9112446,6.55960655212402
278208,9112572,7.04085493087769
278208,9112698,7.51616859436035
278208,9112824,7.9966983795166
278208,9112950,8.49834251403809
278208,9113076,9.03414440155029
278208,9113202,9.59136199951172
278208,9113328,10.1205587387085
278208,9113454,10.6069850921631
278208,9113580,11.0777359008789
278208,9113706,11.548807144165
278208,9113832,12.0251941680908
278208,9113958,12.5115528106689
278208,9114084,12.9849710464478
278208,9114210,13.3843517303467
278208,9114336,13.6411838531494
278208,9114462,13.8121252059937
278208,9114588,14.1586751937866
278208,9114714,14.8742733001709
278208,9114840,15.7660217285156
278208,9114966,16.4629344940186
278208,9115092,16.8409767150879
278208,9115218,17.0466136932373
278208,9115344,17.306957244873
278208,9115470,17.6852397918701
278208,9115596,18.067455291748
278208,9115722,18.3872699737549
278208,9115848,18.7189407348633
278208,9115974,19.1094188690186
278208,9116100,19.4967060089111
278208,9116226,19.8252220153809
278208,9116352,20.0888061523438
278208,9116478,20.3079681396484
278208,9116604,20.5131568908691
278208,9116730,20.6995010375977
278208,9116856,20.8449058532715
278208,9116982,20.9553489685059
278208,9117108,21.0315475463867
278208,9117234,21.0476360321045
278208,9117360,20.997501373291
278208,9117486,20.8968524932861
278208,9117612,20.7628269195557
278208,9117738,20.6211547851563
278208,9117864,20.4634437561035
278208,9117990,20.299503326416
278208,9118116,20.1335716247559
278208,9118242,19.9689903259277
278208,9118368,19.7900333404541
278208,9118494,19.5716896057129
278208,9118620,19.2820625305176
278208,9118746,18.8168907165527
278208,9118872,18.071756362915
278208,9118998,17.1981925964355
278208,9119124,16.6583805084229
278208,9119250,16.7141761779785
278208,9119376,17.0391597747803
278208,9119502,17.1395301818848
278208,9119628,16.9402465820313
278208,9119754,16.6001644134521
278208,9119880,16.2140197753906
278208,9120006,15.7858505249023
278208,9120132,15.2972316741943
278208,9120258,14.7877826690674
278208,9120384,14.3661184310913
278208,9120510,14.1096343994141
278208,9120636,13.9966831207275
278208,9120762,13.9803142547607
278208,9120888,14.0868320465088
278208,9121014,14.4339714050293
278208,9121140,15.2674283981323
278208,9121266,16.2564392089844
278208,9121392,16.5252780914307
278208,9121518,16.6222858428955
278208,9121644,16.8118171691895
278208,9121770,17.0001163482666
278208,9121896,17.1725158691406
278208,9122022,17.3763885498047
278208,9122148,17.6532020568848
278208,9122274,17.986837387085
278208,9122400,18.3272953033447
278208,9122526,18.6484699249268
278208,9122652,18.7198448181152
278208,9122778,18.1245975494385
278208,9122904,16.6853981018066
278208,9123030,13.1211996078491
278208,9123156,7.44124031066895
278334,9089136,7.13119602203369
278334,9089262,4.31443881988525
278334,9089388,5.88399219512939
278334,9089514,7.66815996170044
278334,9089640,7.62622165679932
278334,9089766,6.65964555740356
278334,9089892,6.47772359848022
278334,9090018,6.73084831237793
278334,9090144,6.88058233261108
278334,9090270,7.01629066467285
278334,9090396,7.13008975982666
278334,9090522,7.20183849334717
